,Name,Artists,Peak.position
399,Bad Day,Alvin And The Chipmunks,67.0
400,Bad Day,Daniel Powter,1.0
401,Bad Day,Fuel,64.0
402,Bad For You,Meek Mill,78.0
403,Bad Girlfriend,Theory Of A Deadman,75.0
404,Bad Guy,Billie Eilish,2.0
405,Bad Habits,Maxwell,71.0
406,Bad Idea,Ariana Grande,27.0
407,Bad Liar,Imagine Dragons,56.0
408,Bad Liar,Selena Gomez,20.0
409,Bad Romance,Glee Cast,54.0
410,Bad Romance,Lady Gaga,2.0
411,Bad Things,"Machine Gun Kelly, Camila Cabello",4.0
412,Badaboom,B2K,59.0
413,Bag Lady,Erykah Badu,6.0
414,Bag Of Money,Wale,64.0
415,Baggage Claim,Miranda Lambert,44.0
416,Baila Baila Baila,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",69.0
417,Bailamos,Enrique Iglesias,1.0
418,Bailando,Enrique Iglesias,12.0
419,Bait A Hook,Justin Moore,63.0
420,Ball,T.I.,50.0
421,Ball For Me,Post Malone,16.0
422,Balla Baby,Chingy,20.0
423,Ballin' Out Of Control,Jermaine Dupri,95.0
424,Bandz A Make Her Dance,Juicy J,29.0
425,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",3.0
426,Bang Bang Pow Pow,T,48.0
427,Bang My Head,David Guetta,76.0
428,Bangarang,Skrillex,72.0
429,Banjo,Rascal Flatts,51.0
430,Bank Account,21 Savage,12.0
431,Barbie Dreams,Nicki Minaj,18.0
432,Barbie Tingz,Nicki Minaj,25.0
433,Barefoot And Crazy,Jack Ingram,64.0
434,Barefoot Blue Jean Night,Jake Owen,21.0
435,Bartender,Lady Antebellum,31.0
436,Bartender,T,5.0
437,Bartier Cardi,Cardi B,14.0
438,Bass Down Low,Dev,61.0
439,Bat Country,Avenged Sevenfold,60.0
440,Battle Scars,"Lupe Fiasco, Guy Sebastian",71.0
441,Battlefield,Jordin Sparks,10.0
442,Be Alright,Dean Lewis,23.0
443,Be Careful,Cardi B,11.0
444,Be Good To Me,Ashley Tisdale,80.0
445,Be Here,Raphael Saadiq,99.0
446,Be Like That,3 Doors Down,24.0
447,Be My Escape,Relient K,82.0
448,Be On You,Flo Rida,19.0
449,Be Real,Kid Ink,43.0
450,Be With You,Enrique Iglesias,1.0
451,Be Without You,Mary J. Blige,3.0
452,Be Yourself,Audioslave,32.0
453,Beachin',Jake Owen,26.0
454,"Beamer, Benz, Or Bentley",Lloyd Banks,49.0
455,Beat It,Fall Out Boy,19.0
456,Beat It,Sean Kingston,52.0
457,Beat Of The Music,Brett Eldredge,44.0
458,Beat This Summer,Brad Paisley,46.0
459,Beating Heart,Ellie Goulding,88.0
460,Beautiful,Akon,19.0
461,Beautiful,Bazzi,26.0
462,Beautiful,Christina Aguilera,2.0
463,Beautiful,Eminem,17.0
464,Beautiful,Snoop Dogg,6.0
465,Beautiful Crazy,Luke Combs,21.0
466,Beautiful Day,Lee DeWyze,24.0
467,Beautiful Day,U2,21.0
468,Beautiful Drug,Zac Brown Band,52.0
469,Beautiful Girls,Sean Kingston,1.0
470,Beautiful Goodbye,Jennifer Hanson,76.0
471,Beautiful Liar,"Beyonce, Shakira",3.0
472,Beautiful Love,The Afters,55.0
473,Beautiful Mess,Diamond Rio,28.0
474,Beautiful Monster,Ne,53.0
475,Beautiful Now,Zedd,64.0
476,Beautiful People,Chris Brown,43.0
477,Beautiful Soul,Jesse McCartney,16.0
478,Beautiful Stranger,Madonna,19.0
479,Beautiful Trauma,P!nk,78.0
480,Beauty,Dru Hill,79.0
481,Beauty And A Beat,Justin Bieber,5.0
482,Because I Got High,Afroman,13.0
483,Because Of You,Kelly Clarkson,7.0
484,Because Of You,Ne,2.0
485,Because You Love Me,Jo Dee Messina,53.0
486,Bed,J. Holiday,5.0
487,Bed,Nicki Minaj,42.0
488,Bed Intruder Song,"Antoine Dodson, The Gregory Brothers",89.0
489,Bed Of Lies,Nicki Minaj,62.0
490,BedRock,Young Money,2.0
491,Been There,Clint Black With Steve Wariner,44.0
492,Beep,Bobby V,55.0
493,Beep,The Pussycat Dolls,13.0
494,Beer In Mexico,Kenny Chesney,61.0
495,Beer Money,Kip Moore,51.0
496,Beer Never Broke My Heart,Luke Combs,22.0
497,Beers Ago,Toby Keith,52.0
498,Beez In The Trap,Nicki Minaj,48.0
499,Before He Cheats,Carrie Underwood,8.0
500,Before I Let Go,Beyonce,65.0
501,Before It's Too Late,Goo Goo Dolls,86.0
502,Beggin',Madcon,79.0
503,Beggin' On Your Knees,Victorious Cast,58.0
504,Begin Again,Taylor Swift,7.0
505,Behind Blue Eyes,Limp Bizkit,71.0
506,Behind These Hazel Eyes,Kelly Clarkson,6.0
507,Beibs In The Trap,Travis Scott,90.0
508,Believe,"Brooks, Dunn",60.0
509,Believe,Cher,1.0
510,Believe,"Mumford, Sons",31.0
511,Believe,Staind,83.0
512,Believe Me,Lil Wayne,26.0
513,Believer,Imagine Dragons,4.0
514,Belly Dancer,Akon,30.0
515,Bend Ova,Lil Jon,92.0
516,Beneath Your Beautiful,Labrinth,34.0
517,Bent,matchbox twenty,1.0
518,Berzerk,Eminem,3.0
519,Best Day Of My Life,American Authors,11.0
520,Best Days Of Your Life,Kellie Pickler,46.0
521,Best Friend,"50 Cent, Olivia",35.0
522,Best Friend,Sofi Tukker,81.0
523,Best Friend,Young Thug,45.0
524,Best Friend's Brother,Victorious Cast,86.0
525,Best I Ever Had,Drake,2.0
526,Best I Ever Had,Gary Allan,51.0
527,Best I Ever Had,Gavin DeGraw,75.0
528,Best I Ever Had,Vertical Horizon,58.0
529,Best Life,Cardi B,39.0
530,Best Love Song,T,33.0
531,Best Mistake,Ariana Grande,49.0
532,Best Of Both Worlds,Hannah Montana,92.0
533,Best Of Intentions,Travis Tritt,27.0
534,Best Of Me,Mya,50.0
535,Best Of You,Foo Fighters,18.0
536,Best Part,Daniel Caesar,75.0
537,Best Shot,Jimmie Allen,37.0
538,Best Song Ever,One Direction,2.0
539,Best Thing I Never Had,Beyonce,16.0
540,Bet On It,Zac Efron,46.0
541,Betcha Can't Do It Like Me,D4L,72.0
542,Betrayed,Lil Xan,64.0
543,Better,Khalid,8.0
544,Better As A Memory,Kenny Chesney,46.0
545,Better Days,Citizen King,25.0
546,Better Days,Goo Goo Dolls,36.0
547,Better Dig Two,The Band Perry,28.0
548,Better In Time,Leona Lewis,11.0
549,Better Life,Keith Urban,44.0
550,Better Man,Little Big Town,34.0
551,Better Now,Post Malone,3.0
552,Better Off Alone,Alice Deejay,27.0
553,Better Than I Used To Be,Tim McGraw,52.0
554,Better Than Me,Hinder,31.0
555,Better With The Lights Off,New Boyz,38.0
556,Between Me And You,Ja Rule,11.0
557,Between The Raindrops,Lifehouse,79.0
558,Beverly Hills,Weezer,10.0
559,Beware,Big Sean,38.0
560,Beware Of The Boys,Panjabi MC,33.0
561,Bia' Bia',"Lil Jon, The East Side Boyz",94.0
562,Bickenhead,Cardi B,43.0
563,Big Bank,YG,16.0
564,Big Blue Note,Toby Keith,55.0
565,Big Chips,"R. Kelly, Jay",39.0
566,Big Deal,LeAnn Rimes,23.0
567,Big Girls Don't Cry,Fergie,1.0
568,Big Green Tractor,Jason Aldean,18.0
569,Big Machine,Goo Goo Dolls,64.0
570,Big Ole Freak,Megan Thee Stallion,65.0
571,Big Pimpin',Jay,18.0
572,Big Rings,"Drake, Future",52.0
573,Big Shot,"Kendrick Lamar, Travis Scott",71.0
574,Big Star,Kenny Chesney,28.0
575,Big Yellow Taxi,Counting Crows,42.0
576,Bigger Than My Body,John Mayer,33.0
577,Bill Gates,Lil Wayne,75.0
578,Billie Jean,Michael Jackson,1.0
579,Billionaire,Travie McCoy,4.0
580,Bills,LunchMoney Lewis,79.0
581,"Bills, Bills, Bills",Destiny's Child,1.0
582,"Bills, Bills, Bills",Glee Cast,44.0
583,Billy,6ix9ine,50.0
584,Billy's Got His Beer Goggles On,Neal McCoy,75.0
585,Birthday,Katy Perry,17.0
586,Birthday Cake,Rihanna,24.0
587,Birthday Sex,Jeremih,4.0
588,Birthday Song,2 Chainz,47.0
589,"Bitch, Don't Kill My Vibe",Kendrick Lamar,32.0
590,Bittersweet,Fantasia,74.0
591,Bizounce,Olivia,15.0
592,Black,Dierks Bentley,56.0
593,Black And Yellow,Wiz Khalifa,1.0
594,Black Balloon,Goo Goo Dolls,16.0
595,Black Barbies,"Nicki Minaj, Mike WiLL Made",65.0
