,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
4710,Stronger,Britney Spears,2000,70,11.0,9.0,1,74,15.0,74,15.0
4711,Stronger,Kanye West,2007,47,1.0,5.0,1,47,1.0,46,24.0
4712,Stronger Woman,Jewel,2008,96,84.0,4.0,2,99,10.0,99,10.0
4713,Strut,The Cheetah Girls,2006,60,53.0,2.0,1,60,1.0,53,2.0
4714,Stubborn Love,The Lumineers,2012,85,70.0,7.0,1,96,15.0,96,15.0
4715,Stuck,Stacie Orrico,2003,65,52.0,5.0,2,100,11.0,100,11.0
4716,Stuck In A Moment You Can't Get Out Of,U2,2001,62,52.0,4.0,2,83,20.0,83,20.0
4717,Stuck Like Glue,Sugarland,2010,20,17.0,16.0,1,47,21.0,44,24.0
4718,Stuck On A Feeling,Prince Royce,2015,93,43.0,6.0,1,93,1.0,88,10.0
4719,Studio,ScHoolboy Q,2014,89,38.0,8.0,2,89,1.0,68,20.0
4720,Stunt 101,G Unit,2003,80,13.0,6.0,2,100,17.0,97,18.0
4721,Stuntin' Like My Daddy,"Birdman, Lil Wayne",2006,95,21.0,10.0,1,95,1.0,71,20.0
4722,Stupid Boy,Keith Urban,2006,95,43.0,10.0,1,95,1.0,82,20.0
4723,Stupid Girl,Cold,2003,95,87.0,13.0,1,100,20.0,100,20.0
4724,Stupid Girls,P!nk,2006,24,13.0,2.0,1,85,16.0,85,16.0
4725,Stupid Hoe,Nicki Minaj,2012,81,59.0,2.0,1,86,5.0,86,5.0
4726,Style,Taylor Swift,2014,60,6.0,13.0,1,84,3.0,48,32.0
4727,Successful,Drake,2009,89,17.0,10.0,1,89,1.0,85,18.0
4728,Sucker,Jonas Brothers,2019,1,1.0,1.0,1,9,4.0,6,17.0
4729,Suddenly I See,KT Tunstall,2006,88,21.0,26.0,1,93,6.0,50,30.0
4730,Suds In The Bucket,Sara Evans,2004,75,33.0,10.0,1,75,1.0,72,19.0
4731,Suffocate,J. Holiday,2007,96,18.0,14.0,2,96,1.0,49,24.0
4732,Suga Suga,Baby Bash,2003,71,7.0,16.0,4,71,1.0,50,33.0
4733,Sugar,Flo Rida,2009,25,5.0,7.0,1,90,18.0,90,18.0
4734,Sugar,Maroon 5,2015,8,2.0,9.0,4,49,36.0,49,42.0
4735,Sugar,Robin Schulz,2016,87,44.0,10.0,1,88,15.0,88,15.0
4736,Sugar,Trick Daddy,2005,100,20.0,19.0,2,100,1.0,46,26.0
4737,Sugarhigh,Jade Anderson,2002,96,96.0,1.0,1,100,2.0,100,2.0
4738,Suge,DaBaby,2019,87,7.0,13.0,1,87,1.0,7,13.0
4739,Suit & Tie,Justin Timberlake,2013,84,3.0,11.0,2,84,1.0,44,26.0
4740,Summer,Calvin Harris,2014,69,7.0,16.0,1,84,2.0,50,26.0
4741,Summer Games,Drake,2018,28,28.0,1.0,1,64,2.0,64,2.0
4742,Summer Girls,LFO,1999,52,3.0,7.0,4,97,17.0,97,17.0
4743,Summer Nights,Lil Rob,2005,94,36.0,7.0,1,99,13.0,99,13.0
4744,Summer Nights,Rascal Flatts,2009,80,37.0,9.0,1,99,18.0,99,18.0
4745,Summer Rain,Carl Thomas,2000,82,80.0,4.0,1,95,11.0,95,11.0
4746,Summer Sixteen,Drake,2016,6,6.0,1.0,1,89,14.0,89,14.0
4747,Summertime,Kenny Chesney,2006,98,34.0,8.0,2,98,1.0,65,20.0
4748,Summertime,New Kids On The Block,2008,57,36.0,8.0,1,86,13.0,86,13.0
4749,Summertime Magic,Childish Gambino,2018,44,44.0,1.0,1,100,4.0,100,5.0
4750,Sun Daze,Florida Georgia Line,2014,83,44.0,14.0,1,95,2.0,81,20.0
4751,Sunday Morning,Maroon 5,2005,75,31.0,8.0,1,75,1.0,70,20.0
4752,Sunflower,"Post Malone, Swae Lee",2018,9,1.0,12.0,1,24,2.0,12,36.0
4753,Sunny And 75,Joe Nichols,2013,98,39.0,14.0,1,98,1.0,97,20.0
4754,Sunrise,Duran Duran,2004,95,89.0,2.0,2,100,5.0,100,5.0
4755,"Sunrise, Sunburn, Sunset",Luke Bryan,2018,86,35.0,9.0,1,99,15.0,96,16.0
4756,Sunshine,Coko,1999,81,70.0,5.0,2,99,12.0,99,12.0
4757,Sunshine,Lil' Flip,2004,78,2.0,10.0,2,78,1.0,49,22.0
4758,Sunshine And Summertime,Faith Hill,2006,95,70.0,7.0,1,95,1.0,95,10.0
4759,Super Bass,Nicki Minaj,2011,98,3.0,14.0,2,98,1.0,49,39.0
4760,Superheroes,The Script,2014,88,73.0,6.0,1,93,9.0,93,9.0
4761,Superman,Eminem,2003,55,15.0,7.0,1,94,16.0,94,16.0
4762,Superman,Five For Fighting,2001,69,14.0,18.0,2,69,1.0,45,35.0
4763,Superstar,Lupe Fiasco,2007,76,10.0,13.0,2,87,4.0,36,20.0
4764,Superwoman,Alicia Keys,2008,97,82.0,4.0,1,97,1.0,94,7.0
4765,Supplies,Justin Timberlake,2018,71,71.0,1.0,1,100,2.0,100,2.0
4766,Sure Be Cool If You Did,Blake Shelton,2013,44,24.0,10.0,1,75,20.0,75,20.0
4767,Sure Thing,Miguel,2011,94,36.0,11.0,1,94,1.0,49,23.0
4768,Survival,Drake,2018,17,17.0,1.0,1,69,2.0,69,2.0
4769,Survival,Eminem,2013,17,16.0,4.0,1,96,10.0,74,14.0
4770,Survivor,Destiny's Child,2001,43,2.0,5.0,6,86,19.0,86,19.0
4771,Suspicions,Tim McGraw,2008,93,87.0,3.0,2,93,1.0,91,5.0
4772,Swagga Like Us,Jay,2008,5,5.0,1.0,1,100,20.0,100,20.0
4773,Swalla,Jason Derulo,2017,98,29.0,12.0,1,98,1.0,82,20.0
4774,Swang,Rae Sremmurd,2017,99,26.0,19.0,1,99,1.0,50,26.0
4775,Swear It Again,Westlife,2000,96,20.0,14.0,2,96,1.0,56,20.0
4776,Sweater Weather,The Neighbourhood,2013,98,14.0,27.0,1,98,1.0,45,37.0
4777,Sweet Annie,Zac Brown Band,2013,94,47.0,9.0,1,96,17.0,96,17.0
4778,Sweet But Psycho,Ava Max,2018,87,10.0,23.0,3,87,1.0,21,28.0
4779,Sweet Dreams,Beyonce,2009,97,10.0,14.0,2,97,1.0,50,29.0
4780,Sweet Little Somethin',Jason Aldean,2014,71,71.0,1.0,1,99,2.0,99,2.0
4781,Sweet Nothing,Calvin Harris,2012,96,10.0,13.0,1,97,2.0,49,27.0
4782,Sweet Southern Comfort,Buddy Jewell,2004,73,40.0,12.0,1,89,20.0,89,20.0
4783,Sweet Thing,Keith Urban,2008,43,30.0,17.0,1,93,7.0,62,20.0
4784,Sweetest Girl,Wyclef Jean,2007,94,12.0,15.0,2,94,1.0,46,28.0
4785,Sweetness,Jimmy Eat World,2002,79,75.0,8.0,2,99,14.0,99,14.0
4786,Swervin,A Boogie Wit da Hoodie,2019,57,38.0,2.0,1,63,20.0,63,20.0
4787,Swimming Pools,Kendrick Lamar,2012,100,17.0,16.0,1,100,1.0,48,29.0
4788,Swing,Savage,2008,91,45.0,8.0,1,91,1.0,69,20.0
4789,Swing,Trace Adkins,2006,95,76.0,5.0,1,95,1.0,84,10.0
4790,Swing Ya Rag,T.I.,2008,62,62.0,1.0,1,92,2.0,92,2.0
4791,"Swing, Swing",The All-American Rejects,2003,71,60.0,5.0,2,96,11.0,96,11.0
4792,Swish Swish,Katy Perry,2017,46,46.0,1.0,1,92,10.0,92,10.0
4793,Switch,Will Smith,2005,88,7.0,16.0,1,88,1.0,49,28.0
4794,T,Shirt,2008,86,19.0,40.0,1,98,17.0,48,62.0
4795,TATI,6ix9ine,2018,46,46.0,1.0,1,72,5.0,72,5.0
4796,THat Part,ScHoolboy Q,2016,92,40.0,8.0,1,92,1.0,86,20.0
4797,TIC TOC,6ix9ine,2018,62,53.0,2.0,1,91,3.0,91,3.0
4798,TRUE,Ryan Cabrera,2004,52,18.0,7.0,1,62,19.0,62,19.0
4799,TTYLXOX,Bella Thorne,2012,98,97.0,2.0,1,98,1.0,97,2.0
4800,Ta Da,Lil' Mo,2000,100,95.0,6.0,1,100,1.0,99,7.0
4801,Tainted,Slum Village,2002,98,87.0,5.0,2,98,1.0,94,11.0
4802,Take A Back Road,Rodney Atkins,2011,92,23.0,19.0,1,92,1.0,50,23.0
4803,Take A Bow,Rihanna,2008,97,1.0,5.0,1,97,1.0,45,27.0
4804,Take A Little Ride,Jason Aldean,2012,12,12.0,1.0,1,85,20.0,85,20.0
4805,Take A Message,Remy Shand,2002,94,89.0,4.0,3,94,1.0,89,6.0
4806,Take A Picture,Filter,1999,91,12.0,11.0,1,91,1.0,42,20.0
4807,Take A Walk,Passion Pit,2012,99,84.0,21.0,1,99,1.0,86,22.0
4808,Take Away,"Missy ""Misdemeanor"" Elliott",2001,68,45.0,9.0,1,100,20.0,100,20.0
4809,Take Back Home Girl,Chris Lane,2018,92,55.0,9.0,1,100,2.0,93,12.0
4810,Take Back The Night,Justin Timberlake,2013,47,29.0,8.0,1,64,11.0,62,13.0
4811,Take Care,Drake,2011,9,7.0,17.0,1,61,4.0,48,34.0
4812,Take It From Me,Jordan Davis,2019,75,46.0,9.0,1,79,13.0,79,13.0
4813,Take It Off,Ke$ha,2010,85,8.0,8.0,2,92,2.0,57,20.0
4814,Take It On Back,Chase Bryant,2015,98,82.0,5.0,1,98,1.0,85,8.0
4815,Take It To The Head,DJ Khaled,2012,63,58.0,15.0,1,87,4.0,76,20.0
4816,Take Me As I Am,Mary J. Blige,2006,97,58.0,7.0,1,97,1.0,91,17.0
4817,Take Me Away,Fefe Dobson,2003,96,87.0,3.0,2,96,1.0,96,6.0
4818,Take Me Home,Cash Cash,2014,94,57.0,7.0,2,99,13.0,99,13.0
4819,Take Me Home,Terror Squad,2004,94,62.0,7.0,1,98,14.0,95,16.0
4820,Take Me On The Floor,The Veronicas,2009,99,81.0,2.0,1,99,1.0,81,2.0
4821,Take Me Out,Franz Ferdinand,2004,100,66.0,10.0,3,100,1.0,96,19.0
4822,Take Me There,Rascal Flatts,2007,84,19.0,10.0,1,84,1.0,80,20.0
4823,Take Me To Church,Hozier,2014,96,2.0,17.0,3,96,1.0,48,41.0
4824,Take My Breath Away,Jessica Simpson,2004,59,20.0,8.0,1,94,15.0,89,16.0
4825,Take That,Torrey Carter,2000,94,86.0,3.0,1,99,7.0,99,7.0
4826,Take Ya Home,Lil Bow Wow,2002,75,72.0,2.0,3,93,7.0,93,7.0
4827,Take You Down,Chris Brown,2008,99,43.0,7.0,2,99,1.0,90,20.0
4828,Take You Home,Angie Martinez,2003,95,85.0,2.0,2,99,5.0,99,5.0
4829,Take You Home With Me a.k.a. Body,"R. Kelly, Jay",2002,94,81.0,3.0,2,96,8.0,96,8.0
4830,Take You Out,Luther Vandross,2001,38,26.0,3.0,1,99,14.0,95,17.0
4831,Take You There,Sean Kingston,2007,81,7.0,13.0,1,81,1.0,47,25.0
4832,Take Your Time,Sam Hunt,2015,93,20.0,13.0,1,93,1.0,45,32.0
4833,Taki Taki,DJ Snake,2018,27,11.0,4.0,1,48,26.0,48,26.0
4834,Takin' It To The Streets,Taylor Hicks,2006,69,69.0,1.0,1,94,3.0,92,4.0
4835,Takin' Shots,Post Malone,2018,29,29.0,1.0,1,97,3.0,97,3.0
4836,Taking A Walk,Trippie Redd,2018,46,46.0,1.0,1,92,3.0,92,3.0
4837,Taking Chances,Celine Dion,2007,54,54.0,1.0,1,97,7.0,97,7.0
4838,Taking You Home,Don Henley,2000,79,58.0,7.0,2,90,17.0,87,19.0
4839,Tal Vez,Ricky Martin,2003,74,74.0,1.0,1,100,8.0,100,8.0
4840,Talk,Coldplay,2006,96,86.0,2.0,1,99,4.0,96,6.0
4841,Talk,Khalid,2019,44,3.0,16.0,3,55,3.0,4,20.0
4842,Talk About Our Love,Brandy,2004,88,36.0,5.0,1,100,13.0,94,14.0
4843,Talk Dirty,Jason Derulo,2014,89,3.0,8.0,5,89,1.0,42,33.0
4844,Talk That Talk,Rihanna,2011,31,31.0,1.0,1,100,3.0,70,20.0
4845,Talk To Me,"Tory Lanez, Rich The Kid",2018,76,43.0,10.0,1,96,16.0,96,16.0
4846,Talk Up,Drake,2018,20,20.0,1.0,1,100,3.0,100,3.0
4847,Talk You Out Of It,Florida Georgia Line,2019,80,73.0,18.0,1,98,2.0,76,19.0
4848,Talkin' To Me,Amerie,2002,70,51.0,4.0,2,100,12.0,100,15.0
4849,Talking Body,Tove Lo,2015,95,12.0,18.0,2,95,1.0,49,30.0
4850,Talladega,Eric Church,2014,90,43.0,14.0,1,90,1.0,90,20.0
4851,Tambourine,Eve,2007,72,37.0,8.0,2,99,16.0,94,17.0
4852,Tap,NAV,2019,89,89.0,1.0,1,95,2.0,95,3.0
4853,Tapout,Rich Gang,2013,100,44.0,12.0,1,100,1.0,98,20.0
4854,Tarantula,The Smashing Pumpkins,2007,54,54.0,1.0,1,98,2.0,98,2.0
4855,Taste,Tyga,2018,82,8.0,12.0,2,82,1.0,46,29.0
4856,Tattoo,Jordin Sparks,2007,58,8.0,12.0,3,58,1.0,49,31.0
4857,Tattoos On This Town,Jason Aldean,2011,81,38.0,11.0,1,87,20.0,87,20.0
4858,Te Quiero,Flex,2008,99,86.0,15.0,1,100,3.0,94,17.0
4859,Te Robare,"Nicky Jam, Ozuna",2019,95,91.0,5.0,1,100,2.0,94,6.0
4860,Teach Me How To Dougie,Cali Swag District,2010,91,28.0,13.0,1,91,1.0,57,20.0
4861,Team,Iggy Azalea,2016,42,42.0,1.0,1,99,8.0,99,8.0
4862,Team,Lorde,2013,90,6.0,23.0,3,91,6.0,41,38.0
4863,Tear In My Heart,twenty one pilots,2015,82,82.0,1.0,1,100,2.0,96,8.0
4864,Tear It Up,Yung Wun,2004,93,76.0,5.0,1,93,1.0,90,13.0
4865,Teardrops On My Guitar,Taylor Swift,2007,93,13.0,37.0,1,93,1.0,49,48.0
4866,Teenage Dream,Glee Cast,2010,8,8.0,1.0,1,80,3.0,80,3.0
4867,Teenage Dream,Katy Perry,2010,20,1.0,7.0,2,48,33.0,48,33.0
4868,Teenage Fever,Drake,2017,35,35.0,1.0,1,91,4.0,91,4.0
4869,Teenage Love Affair,Alicia Keys,2008,78,54.0,6.0,2,100,16.0,100,16.0
4870,Teenagers,My Chemical Romance,2007,87,67.0,6.0,1,93,10.0,86,20.0
4871,Telephone,Lady Gaga,2009,30,3.0,17.0,1,46,3.0,43,33.0
4872,Tell Her,Lonestar,2000,75,39.0,13.0,1,99,20.0,99,20.0
4873,Tell Me,Bobby Valentino,2005,85,51.0,9.0,1,87,14.0,87,14.0
4874,Tell Me,Diddy,2006,62,47.0,9.0,1,92,2.0,57,20.0
4875,Tell Me,"Smilez, Southstar",2002,66,28.0,10.0,2,89,16.0,89,16.0
4876,Tell Me Baby,Red Hot Chili Peppers,2006,69,50.0,3.0,1,100,19.0,100,19.0
4877,Tell Me It's Real,K,1999,26,2.0,5.0,1,47,13.0,47,13.0
4878,Tell Me Something Bad About Tulsa,George Strait,2003,72,69.0,5.0,1,97,7.0,97,7.0
4879,Tell Me Something I Don't Know,Selena Gomez,2009,99,58.0,3.0,1,99,1.0,87,4.0
4880,Tell Me When To Go,E,2006,99,35.0,5.0,1,99,1.0,87,15.0
4881,Tell Me You Love Me,Demi Lovato,2017,97,53.0,2.0,1,97,1.0,69,19.0
4882,Tell Your Friends,The Weeknd,2015,54,54.0,1.0,1,79,3.0,79,3.0
4883,Temperature,Sean Paul,2006,74,1.0,11.0,1,74,1.0,43,31.0
4884,Tempo,Chris Brown,2018,96,88.0,4.0,1,96,1.0,88,4.0
4885,Temporary Home,Carrie Underwood,2009,92,41.0,13.0,2,97,2.0,93,20.0
4886,Tempted To Touch,Rupee,2004,96,39.0,7.0,1,100,20.0,100,20.0
4887,Ten Rounds With Jose Cuervo,Tracy Byrd,2002,73,26.0,12.0,1,78,19.0,75,20.0
4888,Tennessee Whiskey,Chris Stapleton,2015,23,20.0,2.0,1,100,5.0,90,6.0
4889,Tennis Court,Lorde,2013,71,71.0,1.0,1,98,8.0,90,18.0
4890,Tequila,Dan + Shay,2018,84,21.0,16.0,1,87,2.0,49,50.0
4891,Tequila Makes Her Clothes Fall Off,Joe Nichols,2005,96,32.0,6.0,2,96,1.0,93,19.0
4892,Tha Block Is Hot,Lil' Wayne,1999,99,72.0,6.0,1,99,1.0,95,11.0
4893,Thank God I Found You,Mariah Carey,1999,82,1.0,11.0,1,89,20.0,89,20.0
4894,"Thank U, Next",Ariana Grande,2018,1,1.0,1.0,7,49,28.0,49,28.0
4895,Thank You,Dido,2001,80,3.0,16.0,3,80,1.0,50,38.0
4896,Thank You,Lil Bow Wow,2002,95,93.0,3.0,2,99,5.0,99,5.0
4897,Thank You For Loving Me,Bon Jovi,2001,68,57.0,3.0,1,100,8.0,100,9.0
4898,Thank You In Advance,Boyz II Men,2000,90,80.0,2.0,1,97,4.0,97,4.0
4899,That Don't Sound Like You,Lee Brice,2016,98,64.0,7.0,2,99,11.0,99,11.0
4900,That Girl,Marques Houston,2003,64,63.0,2.0,2,93,7.0,93,7.0
4901,That Other Woman,Changing Faces,2000,80,64.0,5.0,1,97,11.0,97,11.0
4902,That Song In My Head,Julianne Hough,2008,88,88.0,1.0,1,98,6.0,98,6.0
4903,That Way,Wale,2011,98,49.0,10.0,1,99,17.0,99,18.0
4904,That'd Be Alright,Alan Jackson,2003,74,29.0,12.0,1,91,20.0,91,20.0
4905,That's A Rack,Lil Uzi Vert,2019,76,76.0,1.0,1,97,5.0,97,5.0
4906,That's All She Wrote,T.I.,2010,18,18.0,1.0,1,99,5.0,99,5.0
4907,That's How Country Boys Roll,Billy Currington,2009,100,57.0,14.0,1,100,1.0,99,20.0
4908,That's How I Beat Shaq,Aaron Carter,2001,96,96.0,1.0,1,100,2.0,100,2.0
4909,That's How You Feel,Drake,2018,37,37.0,1.0,1,68,2.0,68,2.0
4910,That's Just Jessie,Kevin Denney,2002,98,76.0,11.0,1,98,1.0,90,17.0
4911,That's My Girl,Fifth Harmony,2016,73,73.0,1.0,1,84,2.0,84,3.0
4912,That's My Kind Of Night,Luke Bryan,2013,16,15.0,5.0,1,56,19.0,45,21.0
4913,That's Not My Name,The Ting Tings,2008,88,39.0,24.0,1,99,3.0,48,26.0
4914,That's On Me,Yella Beezy,2018,92,56.0,17.0,1,95,2.0,92,20.0
4915,That's That,Snoop Dogg,2006,85,20.0,2.0,2,92,16.0,92,16.0
4916,That's The Kind Of Mood I'm In,Patty Loveless,2000,98,71.0,10.0,2,98,1.0,91,14.0
4917,That's The Way,Jo Dee Messina,2000,78,25.0,10.0,1,78,1.0,59,20.0
4918,That's The Way It Is,Celine Dion,1999,74,6.0,17.0,1,74,1.0,42,28.0
4919,That's What I Like,Bruno Mars,2016,79,1.0,15.0,1,82,2.0,38,51.0
4920,That's What I Love About Sunday,Craig Morgan,2005,74,51.0,8.0,1,79,2.0,74,20.0
4921,That's What I'm Looking For,Da Brat,2000,93,56.0,8.0,1,100,18.0,100,18.0
4922,That's What It's All About,"Brooks, Dunn",2004,76,38.0,13.0,1,98,20.0,98,20.0
4923,That's What She Gets For Loving Me,"Brooks, Dunn",2004,73,53.0,11.0,1,80,14.0,80,14.0
4924,That's What You Get,Paramore,2008,99,66.0,11.0,1,99,1.0,97,17.0
4925,That's When I Love You,Phil Vassar,2002,77,37.0,10.0,1,84,17.0,84,20.0
4926,That's Why I Pray,"Big, Rich",2012,99,82.0,7.0,1,99,1.0,89,10.0
4927,The A Team,Ed Sheeran,2012,95,16.0,25.0,1,99,3.0,45,33.0
4928,The Adventure,"Angels, Airwaves",2006,92,55.0,8.0,1,99,2.0,89,14.0
4929,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,2011,38,38.0,1.0,1,97,17.0,97,17.0
4930,The Anthem,Good Charlotte,2003,56,43.0,4.0,2,91,11.0,91,11.0
4931,The Anthem,Pitbull,2008,92,36.0,11.0,1,92,1.0,87,18.0
4932,The Baby,Blake Shelton,2002,76,28.0,12.0,1,90,20.0,90,20.0
4933,The Bad Touch,Bloodhound Gang,2000,70,52.0,5.0,1,98,12.0,98,12.0
4934,The Best Day,George Strait,2000,73,31.0,13.0,1,73,1.0,62,20.0
4935,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",2000,97,77.0,9.0,2,97,1.0,89,12.0
4936,The Body,Wale,2015,98,87.0,4.0,1,98,1.0,91,6.0
4937,The Boss,Rick Ross,2008,84,17.0,10.0,1,88,2.0,64,20.0
4938,The Boys Of Summer,The Ataris,2003,71,20.0,9.0,2,94,18.0,94,18.0
4939,The Breath You Take,George Strait,2010,95,63.0,11.0,1,95,1.0,93,20.0
4940,The Business,Yung Berg,2008,88,33.0,7.0,1,88,1.0,76,14.0
4941,The Call,Backstreet Boys,2001,60,52.0,3.0,1,97,6.0,97,6.0
4942,The Catalyst,Linkin Park,2010,35,27.0,7.0,1,99,10.0,99,10.0
4943,The Cave,"Mumford, Sons",2011,99,27.0,3.0,1,99,1.0,91,20.0
4944,The Chain Of Love,Clay Walker,2000,73,40.0,9.0,1,95,20.0,95,20.0
4945,The Champ,Nelly,2012,64,61.0,2.0,1,92,3.0,92,3.0
4946,The Champion,Carrie Underwood,2018,47,47.0,1.0,1,70,3.0,70,3.0
4947,The Chemicals Between Us,Bush,1999,84,67.0,10.0,1,93,20.0,93,20.0
4948,The Chipmunk Song,Alvin And The Chipmunks,2008,70,66.0,2.0,1,70,1.0,66,2.0
4949,The Christmas Shoes,NewSong,2000,68,42.0,2.0,1,68,1.0,42,2.0
4950,The Christmas Song,Christina Aguilera,1999,97,18.0,3.0,2,97,1.0,18,4.0
4951,The Christmas Song,Lauren Daigle,2018,90,55.0,2.0,1,90,1.0,55,2.0
4952,The Christmas Song,Nat King Cole,2014,45,11.0,11.0,1,47,3.0,11,11.0
4953,The Climb,Miley Cyrus,2009,6,4.0,7.0,1,45,28.0,45,28.0
4954,The Cowboy In Me,Tim McGraw,2002,65,33.0,9.0,2,87,20.0,87,20.0
4955,The Cure,Lady Gaga,2017,39,39.0,1.0,1,87,14.0,87,14.0
4956,The Day That Never Comes,Metallica,2008,31,31.0,1.0,1,95,8.0,95,10.0
4957,The Day The World Went Away,Nine Inch Nails,1999,17,17.0,1.0,1,95,5.0,95,5.0
4958,The Diary Of Jane,Breaking Benjamin,2006,55,50.0,2.0,1,97,20.0,97,20.0
4959,The Dolphin's Cry,Live,1999,84,78.0,2.0,3,93,10.0,93,10.0
4960,The Edge Of Glory,Lady Gaga,2011,3,3.0,1.0,1,50,24.0,50,24.0
4961,The Fear,Lily Allen,2009,91,80.0,6.0,1,99,5.0,96,10.0
4962,The Feeling,Justin Bieber,2015,31,31.0,1.0,1,93,7.0,93,7.0
4963,The Fighter,Gym Class Heroes,2012,95,25.0,7.0,2,95,1.0,88,15.0
4964,The Fighter,Keith Urban,2016,69,38.0,9.0,1,93,4.0,47,23.0
4965,The First Cut Is The Deepest,Sheryl Crow,2003,75,14.0,22.0,2,75,1.0,49,35.0
4966,The Fix,Nelly,2015,86,62.0,11.0,2,97,20.0,97,20.0
4967,The Fixer,Pearl Jam,2009,56,56.0,1.0,1,93,7.0,93,7.0
4968,The Fox,Ylvis,2013,29,6.0,5.0,3,98,16.0,75,18.0
4969,The Game Of Love,Santana,2002,66,5.0,8.0,3,66,1.0,50,36.0
4970,The Git Up,Blanco Brown,2019,66,29.0,3.0,1,66,1.0,29,3.0
4971,The Good Stuff,Kenny Chesney,2002,70,22.0,13.0,2,70,1.0,57,20.0
4972,The Great Beyond,R.E.M.,1999,79,57.0,6.0,1,91,14.0,91,14.0
4973,The Great Escape,Boys Like Girls,2007,96,23.0,17.0,1,96,1.0,50,25.0
4974,The Greatest,Sia,2016,52,18.0,12.0,3,52,1.0,49,23.0
4975,The Greatest Romance Ever Sold,Prince,1999,96,63.0,4.0,3,99,13.0,99,13.0
4976,The Hand Clap,Hurricane Chris,2007,96,72.0,2.0,1,96,1.0,92,6.0
4977,The Hand That Feeds,Nine Inch Nails,2005,31,31.0,1.0,1,84,20.0,84,20.0
4978,The Hanging Tree,James Newton Howard,2014,12,12.0,1.0,1,100,17.0,100,17.0
4979,The Heart Of Dixie,Danielle Bradbery,2013,58,58.0,1.0,1,97,2.0,86,13.0
4980,The Heart Part 4,Kendrick Lamar,2017,22,22.0,1.0,1,85,2.0,85,2.0
4981,The Heart Wants What It Wants,Selena Gomez,2014,25,6.0,4.0,1,86,20.0,86,20.0
4982,The Hills,The Weeknd,2015,20,1.0,17.0,6,48,48.0,48,48.0
4983,The House That Built Me,Miranda Lambert,2010,98,28.0,9.0,1,98,1.0,72,20.0
4984,The Impossible,Joe Nichols,2002,95,29.0,17.0,3,95,1.0,45,21.0
4985,The Itch,Vitamin C,2000,86,45.0,3.0,1,100,9.0,100,9.0
4986,The Jump Off,Lil' Kim,2003,66,17.0,11.0,1,82,20.0,82,20.0
4987,The Kill,Thirty Seconds To Mars,2006,86,65.0,8.0,1,91,5.0,88,20.0
4988,The Language,Drake,2013,51,51.0,1.0,1,94,3.0,82,20.0
4989,The Lazy Song,Bruno Mars,2010,82,4.0,15.0,1,98,2.0,50,27.0
4990,The Light,Common,2000,75,44.0,6.0,1,99,19.0,99,19.0
4991,The Light Is Coming,Ariana Grande,2018,95,89.0,2.0,1,95,1.0,89,2.0
4992,The Little Girl,John Michael Montgomery,2000,81,35.0,8.0,2,83,18.0,74,20.0
4993,The London,"Young Thug, J. Cole, Travis Scott",2019,12,12.0,1.0,1,30,5.0,30,5.0
4994,The Long Goodbye,"Brooks, Dunn",2001,75,39.0,13.0,2,80,19.0,80,19.0
4995,The Long Way,Brett Eldredge,2018,93,65.0,9.0,2,94,2.0,85,12.0
4996,The Love Song,Jeff Bates,2003,73,59.0,9.0,1,91,12.0,91,12.0
4997,The Lucky One,Faith Hill,2006,93,69.0,5.0,2,93,1.0,85,9.0
4998,The Man,Aloe Blacc,2013,85,8.0,14.0,1,85,1.0,33,20.0
4999,The Man I Want To Be,Chris Young,2010,98,48.0,9.0,1,98,1.0,96,20.0
5000,The Man Who Can't Be Moved,The Script,2010,96,86.0,4.0,1,96,1.0,95,6.0
5001,The Matrimony,Wale,2015,87,70.0,12.0,1,98,19.0,98,19.0
5002,The Middle,Jimmy Eat World,2002,71,5.0,15.0,1,71,1.0,49,33.0
5003,The Middle,"Zedd, Maren Morris, Grey",2018,23,5.0,12.0,4,47,39.0,46,40.0
5004,The Monster,Eminem,2013,3,1.0,6.0,4,50,29.0,50,29.0
5005,The Motto,Drake,2011,18,14.0,22.0,1,47,35.0,47,35.0
5006,The Next Episode,Dr. Dre,2000,78,23.0,10.0,1,78,1.0,58,20.0
5007,The Night Is Still Young,Nicki Minaj,2015,93,31.0,7.0,1,100,17.0,100,17.0
5008,The One,Backstreet Boys,2000,58,30.0,6.0,1,100,15.0,100,15.0
5009,The One,Gary Allan,2002,70,37.0,12.0,3,93,20.0,93,20.0
5010,The One,Mary J. Blige,2009,63,63.0,1.0,1,95,3.0,90,10.0
5011,The One,The Chainsmokers,2017,91,78.0,2.0,1,91,1.0,78,2.0
5012,The One That Got Away,Jake Owen,2012,93,51.0,12.0,5,93,1.0,90,20.0
5013,The One That Got Away,Katy Perry,2011,94,3.0,11.0,2,94,1.0,48,24.0
5014,The One You Love,Paulina Rubio,2002,99,97.0,2.0,2,99,1.0,97,3.0
5015,The Ones That Didn't Make It Back Home,Justin Moore,2019,100,93.0,2.0,1,100,1.0,93,2.0
5016,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco,2006,88,77.0,6.0,1,94,8.0,94,8.0
