,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
140,Ain't Your Mama,Jennifer Lopez,2016,92,76.0,2.0,1,92,1.0,76,2.0
141,Air Force Ones,Nelly,2002,69,3.0,9.0,4,69,1.0,41,20.0
142,Airplanes,B.o.B,2010,12,2.0,6.0,1,47,30.0,47,30.0
143,Alcohol,Brad Paisley,2005,89,28.0,10.0,1,91,18.0,91,18.0
144,Alejandro,Lady Gaga,2010,72,5.0,11.0,1,72,1.0,46,23.0
145,Alice,Avril Lavigne,2010,71,71.0,1.0,2,95,3.0,95,3.0
146,Alive,Krewella,2013,99,32.0,12.0,1,99,1.0,89,20.0
147,Alive,P.O.D.,2001,76,41.0,10.0,1,87,20.0,87,20.0
148,Alive,Sia,2015,56,56.0,1.0,1,99,3.0,99,3.0
149,All,American Girl,2008,84,27.0,10.0,1,84,1.0,78,20.0
150,All About It,Hoodie Allen,2015,100,71.0,4.0,1,100,1.0,71,4.0
151,All About That Bass,Meghan Trainor,2014,84,1.0,9.0,8,84,1.0,49,47.0
152,All About Tonight,Blake Shelton,2010,98,37.0,9.0,1,98,1.0,98,19.0
153,All Around Me,Flyleaf,2008,93,40.0,15.0,1,94,2.0,72,20.0
154,All Around The World,Justin Bieber,2012,22,22.0,1.0,1,97,9.0,97,9.0
155,All Because Of You,Marques Houston,2005,91,69.0,6.0,1,95,2.0,86,10.0
156,All Day,Kanye West,2015,15,15.0,1.0,1,93,15.0,93,15.0
157,All Eyes On You,Meek Mill,2015,81,21.0,6.0,1,81,1.0,57,20.0
158,All Eyez,The Game,2016,100,79.0,2.0,1,100,1.0,93,5.0
159,All Eyez On Me,Monica,2002,70,69.0,2.0,1,92,7.0,92,7.0
160,All Falls Down,Kanye West,2004,75,7.0,11.0,1,75,1.0,49,20.0
161,All For You,Janet,2001,14,1.0,5.0,7,49,22.0,49,22.0
162,All Girls Are The Same,Juice WRLD,2018,92,41.0,5.0,1,92,1.0,72,20.0
163,All Gold Everything,Trinidad James,2012,96,36.0,8.0,1,96,1.0,86,20.0
164,All Good Things,Nelly Furtado,2007,99,86.0,3.0,1,99,1.0,97,4.0
165,All Good?,De La Soul,2000,96,96.0,1.0,2,100,3.0,100,3.0
166,All I Ask For Anymore,Trace Adkins,2009,99,95.0,2.0,1,99,1.0,95,2.0
167,All I Do Is Win,DJ Khaled,2010,64,24.0,21.0,1,97,4.0,44,24.0
168,All I Ever Wanted,Chuck Wicks,2008,95,86.0,3.0,1,98,4.0,98,4.0
169,All I Ever Wanted,Kelly Clarkson,2010,99,96.0,2.0,2,100,6.0,100,6.0
170,All I Have,Jennifer Lopez,2002,25,1.0,7.0,4,49,21.0,49,21.0
171,All I Know,The Weeknd,2016,46,46.0,1.0,1,83,2.0,83,2.0
172,All I Need,Fat Joe,2003,99,86.0,6.0,2,99,1.0,94,8.0
173,All I Want For Christmas Is You,Mariah Carey,2000,83,3.0,29.0,1,83,1.0,3,29.0
174,All I Want Is You,Miguel,2010,91,58.0,6.0,1,91,1.0,89,14.0
175,All I Want To Do,Sugarland,2008,91,18.0,3.0,1,91,1.0,83,16.0
176,All In My Head,Fifth Harmony,2016,78,24.0,7.0,1,89,18.0,89,18.0
177,All Jacked Up,Gretchen Wilson,2005,97,42.0,7.0,1,98,11.0,98,11.0
178,All Kinds Of Kinds,Miranda Lambert,2013,97,89.0,5.0,1,99,3.0,89,5.0
179,All Me,Drake,2013,20,20.0,1.0,1,54,20.0,54,20.0
180,All Mine,Kanye West,2018,11,11.0,1.0,1,96,9.0,96,9.0
181,All My Friends,21 Savage,2019,67,67.0,1.0,1,97,2.0,97,2.0
