,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
37,49,48,Best Pop Solo Performance,2016,Pop,hello,Adele,"Martin Solveig, Dragonette",2
38,50,49,Best Pop Duo/Group Performance,2016,Pop,stressed out,Twenty One Pilots,twenty one pilots,1
39,51,50,Best Dance Recording,2016,Dance/Electronic Music,don't let me down,The Chainsmokers Featuring Daya,The Chainsmokers,1
40,55,54,Best R&B Performance,2016,R&B,cranes in the sky,Solange,Solange,1
41,56,55,Best Traditional R&B Performance,2016,R&B,angel,Lalah Hathaway,Akon,1
42,56,55,Best Traditional R&B Performance,2016,R&B,angel,Lalah Hathaway,Amanda Perez,1
43,56,55,Best Traditional R&B Performance,2016,R&B,angel,Lalah Hathaway,Lionel Richie,1
44,56,55,Best Traditional R&B Performance,2016,R&B,angel,Lalah Hathaway,Natasha Bedingfield,1
45,56,55,Best Traditional R&B Performance,2016,R&B,angel,Lalah Hathaway,Shaggy,1
46,58,57,Best Rap Performance,2016,Rap,no problem,Chance the Rapper Featuring Lil Wayne & 2 Chainz,Chance The Rapper,1
47,58,57,Best Rap Performance,2016,Rap,no problem,Chance the Rapper Featuring Lil Wayne & 2 Chainz,Lil Scrappy,1
48,59,58,Best Rap/Sung Performance,2016,Rap,hotline bling,Drake,Drake,1
49,60,59,Best Rap Song,2016,Rap,hotline bling,Drake,Drake,1
50,61,60,Best Country Solo Performance,2016,Country,my church,Maren Morris,Maren Morris,1
51,63,62,Best Country Song,2016,Country,humble and kind,Tim Mcgraw,Tim McGraw,1
52,69,68,Best Song Written For Visual Media,2016,Composing/Arranging,can't stop the feeling!,"Justin Timberlake, Anna Kendrick, Gwen Stefani, James Corden, Zooey Deschanel, Walt Dohrn, Ron Funches, Caroline Hjelt, Aino Jawo, Christopher Mintz-Plasse & Kunal Nayyar",Justin Timberlake,1
53,71,70,Song Of The Year,2015,General,thinking out loud,"d Sheeran & Amy Wadge, Songwriters",Ed Sheeran,1
54,72,71,Best Pop Solo Performance,2015,Pop,thinking out loud,Ed Sheeran,Ed Sheeran,1
55,81,80,Best Rap Performance,2015,Rap,alright,Kendrick Lamar,Darius Rucker,1
56,81,80,Best Rap Performance,2015,Rap,alright,Kendrick Lamar,Kendrick Lamar,1
57,82,81,Best Rap Song,2015,Rap,alright,"Endrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, Songwriters",Darius Rucker,1
58,82,81,Best Rap Song,2015,Rap,alright,"Endrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, Songwriters",Kendrick Lamar,1
